,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
4609,2023-02-28,23483.67,23600.47,23206.15,23484.94,400286.4598079995
4608,2023-02-27,23478.68,23897.45,23118.92,23478.51,538677.30298216
4607,2023-02-26,23119.94,23675.6,23061.91,23478.9,407641.00359296
4606,2023-02-25,23118.98,23220.83,22800.76,23122.99,379176.24124055
4605,2023-02-24,23869.45,24132.29,22885.98,23119.67,619080.17644736
4604,2023-02-23,24102.5,24599.86,23617.82,23873.62,652224.93632607
4603,2023-02-22,24384.62,24478.5,23591.34,24100.62,318887.50427246
4602,2023-02-21,24704.92,25247.79,24160.72,24388.53,640667.52588801
4601,2023-02-20,24494.26,25098.26,23887.34,24707.27,698388.35431938
4600,2023-02-19,24630.97,25189.35,24266.79,24496.9,538761.36298036
4599,2023-02-18,24681.14,24876.21,24438.22,24631.37,463640.44409949
4598,2023-02-17,23997.87,25012.62,23347.09,24680.88,1072480.5020466
4597,2023-02-16,24157.02,25190.38,23984.52,24013.83,845824.46266998
4596,2023-02-15,22197.17,24379.42,22056.6,24154.2,745423.05810511
4595,2023-02-14,21651.95,22307.84,21593.09,22197.16,667540.1564676
4594,2023-02-13,21796.7,21904.25,21389.27,21651.99,489415.11582372
4593,2023-02-12,21826.05,22088.43,21670.17,21797.04,363629.72556284
4592,2023-02-11,21574.43,21880.16,21555.22,21826.01,351602.89705269
4591,2023-02-10,21765.75,21942.33,21472.11,21573.69,486933.84014844
4590,2023-02-09,22884.37,23002.98,21702.82,21767.64,474957.4415886
4589,2023-02-08,23230.07,23446.51,22675.71,22931.09,416408.29144749
4588,2023-02-07,22880.28,23349.53,22644.48,23230.15,637297.13002558
4587,2023-02-06,22976.08,23139.31,22639.07,22882.23,508266.17641462
4586,2023-02-05,23406.1,23435.35,22754.56,22986.06,426911.58004305
4585,2023-02-04,23423.49,23572.97,23255.63,23405.02,317113.26301146
4584,2023-02-03,23561.4,23718.91,23211.27,23423.51,698364.27606088
4583,2023-02-02,23715.93,24252.3,23439.15,23561.5,698641.76236093
4582,2023-02-01,23182.07,23802.88,22766.82,23714.81,510830.73577576
4581,2023-01-31,22732.51,23306.01,22704.75,23183.72,506877.36120808
4580,2023-01-30,23764.77,23876.5,22501.13,22731.31,605711.2839851
4579,2023-01-29,22982.28,23963.65,22966.43,23767.1,606061.24300701
4578,2023-01-28,23014.74,23191.85,22887.17,22982.45,318233.42798084
4577,2023-01-27,22998.45,23501.27,22549.02,23015.57,630017.74581208
4576,2023-01-26,22937.72,23285.78,22862.88,23005.85,657509.13168375
4575,2023-01-25,22755.86,23814.84,22364.18,22939.25,753891.24794323
4574,2023-01-24,22934.4,23165.82,22730.26,22756.85,557404.64721868
4573,2023-01-23,22678.93,23173.12,22613.95,22930.96,585452.91542681
4572,2023-01-22,22902.0,23073.4,22311.38,22681.54,517580.67745287
4571,2023-01-21,22598.3,23374.44,22435.88,22948.89,739934.33181571
4570,2023-01-20,21064.22,22697.96,20867.98,22594.95,726054.2600282
4569,2023-01-19,20803.36,21188.41,20645.25,21064.89,557692.78680664
4568,2023-01-18,21234.5,21646.08,20409.21,20807.83,715560.00983017
4567,2023-01-17,21187.0,21595.22,20850.71,21234.11,609041.02333619
4566,2023-01-16,20915.2,21459.84,20627.37,21188.27,672859.48875173
4565,2023-01-15,20990.67,21073.69,20559.42,20916.33,435684.71880105
4564,2023-01-14,19854.7,21204.61,19736.21,20987.85,947812.18179573
4563,2023-01-13,18915.62,20001.6,18718.02,19851.05,878652.79343892
4562,2023-01-12,17555.98,19116.95,17550.68,18916.85,770225.2574159
4561,2023-01-11,17433.9,17593.31,17314.73,17555.01,434807.53842346
4560,2023-01-10,17202.83,17494.52,17128.96,17433.56,444493.29223275
4559,2023-01-09,16961.24,17394.75,16961.24,17204.3,480368.81602793
4558,2023-01-08,16932.36,17015.36,16908.76,16961.24,240726.77541632
4557,2023-01-07,16954.57,16976.19,16903.16,16932.5,212863.82141346
4556,2023-01-06,16831.24,17028.09,16675.3,16953.01,432166.74145368
4555,2023-01-05,16821.19,16872.23,16750.6,16832.67,340809.59350455
4554,2023-01-04,16670.69,16982.72,16647.86,16821.5,486505.98181859
4553,2023-01-03,16692.73,16771.28,16599.83,16670.72,343723.91061295
