,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2433,2023-02-28,0.080913,0.082989,0.080905,0.0818608,1550843201.2251084
2432,2023-02-27,0.0816951,0.0822484,0.0799426,0.080913,1448671252.7
2431,2023-02-26,0.0800336,0.0826076,0.0800336,0.0816959,1515659026.3704
2430,2023-02-25,0.0800802,0.0821572,0.078471,0.0800456,2044494200.5359
2429,2023-02-24,0.0842108,0.0849929,0.0792542,0.0800882,2572148838.7876
2428,2023-02-23,0.0850999,0.0864068,0.083531,0.0842208,1794741897.6
2427,2023-02-22,0.0853455,0.087573,0.0829215,0.085099,3350691985.0734
2426,2023-02-21,0.0877925,0.0888626,0.084466,0.0853455,2575690630.4893
2425,2023-02-20,0.0871002,0.0887081,0.0851047,0.0877925,2278142909.183
2424,2023-02-19,0.0889742,0.0900427,0.0857849,0.0871002,2793661337.7267
2423,2023-02-18,0.0875878,0.0903931,0.0868366,0.0889281,1993884942.1989
2422,2023-02-17,0.0855591,0.0885232,0.0842993,0.0875698,2458928673.2544
2421,2023-02-16,0.0885049,0.0913491,0.0848683,0.0855581,4929076237.774
2420,2023-02-15,0.0832623,0.0890169,0.082675,0.0885058,4539680331.3366
2419,2023-02-14,0.0814358,0.0836485,0.0802967,0.0832606,2061677350.708
2418,2023-02-13,0.0823672,0.0863874,0.0796516,0.081435,3652361585.5178
2417,2023-02-12,0.0824675,0.0857976,0.0811712,0.0823672,2134181623.7338
2416,2023-02-11,0.0806221,0.0825493,0.0794727,0.0824584,1385683312.773
2415,2023-02-10,0.080057,0.08299,0.079884,0.0806221,2180134166.7875
2414,2023-02-09,0.0900873,0.0909173,0.0788907,0.0799872,3024337655.3443
2413,2023-02-08,0.0925566,0.0933256,0.0886054,0.0900782,1704226552.737
2412,2023-02-07,0.0908736,0.0926585,0.088637,0.0925955,2625855638.5006
2411,2023-02-06,0.0922821,0.0932676,0.0905853,0.0909336,1756178857.6053
2410,2023-02-05,0.0972788,0.0976248,0.0905554,0.0922921,4166255232.3503
2409,2023-02-04,0.0926984,0.09973,0.0924273,0.0972688,5906284327.7855
